I - #ADJ_PERSONALITIES#	I am #ADJ_PERSONALITIES#.
#NAMES_FIRST_MEN# - #ADJ_PERSONALITIES#	#NAMES_FIRST_MEN# is #ADJ_PERSONALITIES#.
#NAMES_FIRST_WOMEN# - #ADJ_PERSONALITIES#	#NAMES_FIRST_WOMEN# is #ADJ_PERSONALITIES#.
#WHO_PLURAL# - #ADJ_PERSONALITIES#	#WHO_PLURAL# are #ADJ_PERSONALITIES#.
#WHO_SINGLE# - #ADJ_PERSONALITIES#	#WHO_SINGLE# is #ADJ_PERSONALITIES#.
I not - #ADJ_PERSONALITIES#	I am not #ADJ_PERSONALITIES#.
#NAMES_FIRST_MEN# not - #ADJ_PERSONALITIES#	#NAMES_FIRST_MEN# is not #ADJ_PERSONALITIES#.
#NAMES_FIRST_WOMEN# not - #ADJ_PERSONALITIES#	#NAMES_FIRST_WOMEN# is not #ADJ_PERSONALITIES#.
#WHO_PLURAL# not - #ADJ_PERSONALITIES#	#WHO_PLURAL# are not #ADJ_PERSONALITIES#.
#WHO_SINGLE# not - #ADJ_PERSONALITIES#	#WHO_SINGLE# is not #ADJ_PERSONALITIES#.
Question I - #ADJ_PERSONALITIES#?	Am I #ADJ_PERSONALITIES#?
Question #NAMES_FIRST_MEN# - #ADJ_PERSONALITIES#?	Is #NAMES_FIRST_MEN# #ADJ_PERSONALITIES#?
Question #NAMES_FIRST_WOMEN# - #ADJ_PERSONALITIES#?	Is #NAMES_FIRST_WOMEN# #ADJ_PERSONALITIES#?
Question #WHO_PLURAL# - #ADJ_PERSONALITIES#?	Are #WHO_PLURAL# #ADJ_PERSONALITIES#?
Question #WHO_SINGLE# - #ADJ_PERSONALITIES#?	Is #WHO_SINGLE# #ADJ_PERSONALITIES#?
