I (to be) #WHO_SINGLE_PEOPLE#	I am a #WHO_SINGLE_PEOPLE#.
child (to be) #WHO_SINGLE_CHILD#	A child is a #WHO_SINGLE_CHILD#.
He (to be) #WHO_SINGLE_MAN#	He is a #WHO_SINGLE_MAN#.
She (to be) #WHO_SINGLE_WOMAN#	She is a #WHO_SINGLE_WOMAN#.
#NAMES_FIRST_MEN# (to be) #WHO_SINGLE_MAN#	#NAMES_FIRST_MEN# is a #WHO_SINGLE_MAN#.
#NAMES_FIRST_WOMEN# (to be) #WHO_SINGLE_WOMAN#	#NAMES_FIRST_WOMEN# is a #WHO_SINGLE_WOMAN#.
It (to be) #WHO_SINGLE_MAN#	It is a #WHO_SINGLE_MAN#.
It (to be) #WHO_SINGLE_WOMAN#	It is a #WHO_SINGLE_WOMAN#.
#WHO_PLURAL# (to be) #PEOPLE_PLURAL#	#WHO_PLURAL# are #PEOPLE_PLURAL#.
I not (to be) #WHO_SINGLE_PEOPLE#	I am not a #WHO_SINGLE_PEOPLE#.
child not (to be) #WHO_SINGLE_CHILD#	A child is not a #WHO_SINGLE_CHILD#.
He not (to be) #WHO_SINGLE_MAN#	He is not a #WHO_SINGLE_MAN#.
She not (to be) #WHO_SINGLE_WOMAN#	She is not a #WHO_SINGLE_WOMAN#.
#NAMES_FIRST_MEN# not (to be) #WHO_SINGLE_MAN#	#NAMES_FIRST_MEN# is not a #WHO_SINGLE_MAN#.
#NAMES_FIRST_WOMEN# not (to be) #WHO_SINGLE_WOMAN#	#NAMES_FIRST_WOMEN# is not a #WHO_SINGLE_WOMAN#.
It not (to be) #WHO_SINGLE_MAN#	It is not a #WHO_SINGLE_MAN#.
It not (to be) #WHO_SINGLE_WOMAN#	It is not a #WHO_SINGLE_WOMAN#.
#WHO_PLURAL# not (to be) #PEOPLE_PLURAL#	#WHO_PLURAL# are not #PEOPLE_PLURAL#.
Question I (to be) #WHO_SINGLE_PEOPLE#?	Am I a #WHO_SINGLE_PEOPLE#?
Question child (to be) #WHO_SINGLE_CHILD#?	Is a child a #WHO_SINGLE_CHILD#?
Question he (to be) #WHO_SINGLE_MAN#?	Is he a #WHO_SINGLE_MAN#?
Question she (to be) #WHO_SINGLE_WOMAN#?	Is she a #WHO_SINGLE_WOMAN#?
Question #NAMES_FIRST_MEN# (to be) #WHO_SINGLE_MAN#?	Is #NAMES_FIRST_MEN# a #WHO_SINGLE_MAN#?
Question #NAMES_FIRST_WOMEN# (to be) #WHO_SINGLE_WOMAN#?	Is #NAMES_FIRST_WOMEN# a #WHO_SINGLE_WOMAN#?
Question it (to be) #WHO_SINGLE_MAN#?	Is it a #WHO_SINGLE_MAN#?
Question it (to be) #WHO_SINGLE_WOMAN#?	Is it a #WHO_SINGLE_WOMAN#?
Question #WHO_PLURAL# (to be) #PEOPLE_PLURAL#?	Are #WHO_PLURAL# #PEOPLE_PLURAL#?
Who (to be) this?	Who is this?
Who (to be) that?	Who is that?
Who (to be) these?	Who are these?
Who (to be) those?	Who are those?
Who (to be) this? Answer: #PEOPLE_SINGLE#.	This is a #PEOPLE_SINGLE#.
Who (to be) that? Answer: #PEOPLE_SINGLE#.	That is a #PEOPLE_SINGLE#.
Who (to be) these? Answer: #PEOPLE_PLURAL#.	These are #PEOPLE_PLURAL#.
Who (to be) those? Answer: #PEOPLE_PLURAL#.	Those are #PEOPLE_PLURAL#.
