#WHO_SINGLE_WITH_NAMES# - #PROFESSIONS_SINGLE#	#WHO_SINGLE_WITH_NAMES# is a #PROFESSIONS_SINGLE#.
#WHO_SINGLE_WITH_NAMES# - #STUDY_SUBJECTS_A# teacher	#WHO_SINGLE_WITH_NAMES# is a #STUDY_SUBJECTS_A# teacher.
#WHO_SINGLE_WITH_NAMES# - #STUDY_SUBJECTS_AN# teacher	#WHO_SINGLE_WITH_NAMES# is an #STUDY_SUBJECTS_AN# teacher.
#WHO_SINGLE_WITH_NAMES# not - #PROFESSIONS_SINGLE#	#WHO_SINGLE_WITH_NAMES# is not a #PROFESSIONS_SINGLE#.
#WHO_SINGLE_WITH_NAMES# not - #STUDY_SUBJECTS_A# teacher	#WHO_SINGLE_WITH_NAMES# is not a #STUDY_SUBJECTS_A# teacher.
#WHO_SINGLE_WITH_NAMES# not - #STUDY_SUBJECTS_AN# teacher	#WHO_SINGLE_WITH_NAMES# is not an #STUDY_SUBJECTS_AN# teacher.
Question #WHO_SINGLE_WITH_NAMES# - #PROFESSIONS_SINGLE#?	Is #WHO_SINGLE_WITH_NAMES# a #PROFESSIONS_SINGLE#?
Question #WHO_SINGLE_WITH_NAMES# - #STUDY_SUBJECTS_A# teacher?	Is #WHO_SINGLE_WITH_NAMES# a #STUDY_SUBJECTS_A# teacher?
Question #WHO_SINGLE_WITH_NAMES# - #STUDY_SUBJECTS_AN# teacher?	Is #WHO_SINGLE_WITH_NAMES# an #STUDY_SUBJECTS_AN# teacher?
Is #NAMES_FIRST_MEN# a #PROFESSIONS_SINGLE#? Answer: yes	Yes, he is.
Is #NAMES_FIRST_MEN# a #STUDY_SUBJECTS_A# teacher? Answer: yes	Yes, he is.
Is #NAMES_FIRST_MEN# an #STUDY_SUBJECTS_AN# teacher? Answer: yes	Yes, he is.
Is #NAMES_FIRST_WOMEN# a #PROFESSIONS_SINGLE#? Answer: yes	Yes, she is.
Is #NAMES_FIRST_WOMEN# a #STUDY_SUBJECTS_A# teacher? Answer: yes	Yes, she is.
Is #NAMES_FIRST_WOMEN# an #STUDY_SUBJECTS_AN# teacher? Answer: yes	Yes, she is.
Is #NAMES_FIRST_MEN# a #PROFESSIONS_SINGLE#? Answer: no	No, he is not.
Is #NAMES_FIRST_MEN# a #STUDY_SUBJECTS_A# teacher? Answer: no	No, he is not.
Is #NAMES_FIRST_MEN# an #STUDY_SUBJECTS_AN# teacher? Answer: no	No, he is not.
Is #NAMES_FIRST_WOMEN# a #PROFESSIONS_SINGLE#? Answer: no	No, she is not.
Is #NAMES_FIRST_WOMEN# a #STUDY_SUBJECTS_A# teacher? Answer: no	No, she is not.
Is #NAMES_FIRST_WOMEN# an #STUDY_SUBJECTS_AN# teacher? Answer: no	No, she is not.
