#WHO_PLURAL_AND_I# (to have) #EAT#.	#WHO_PLURAL_AND_I# have #EAT#.
#WHO_PLURAL_AND_I# (to have) a #EAT_A#.	#WHO_PLURAL_AND_I# have a #EAT_A#.
#WHO_PLURAL_AND_I# (to have) an #EAT_AN#.	#WHO_PLURAL_AND_I# have an #EAT_AN#.
#WHO_PLURAL_AND_I# (to have) #DRINK#.	#WHO_PLURAL_AND_I# have #DRINK#.
#WHO_PLURAL_AND_I# (to have) a #READ_SINGLE_THING#.	#WHO_PLURAL_AND_I# have a #READ_SINGLE_THING#.
#WHO_PLURAL_AND_I# (to have) a #THINGS_GIVE_A#.	#WHO_PLURAL_AND_I# have a #THINGS_GIVE_A#.
#WHO_PLURAL_AND_I# (to have) an #THINGS_GIVE_AN#.	#WHO_PLURAL_AND_I# have an #THINGS_GIVE_AN#.
#WHO_SINGLE_WITHOUT_IT# (to have) #EAT#.	#WHO_SINGLE_WITHOUT_IT# has #EAT#.
#WHO_SINGLE_WITHOUT_IT# (to have) a #EAT_A#.	#WHO_SINGLE_WITHOUT_IT# has a #EAT_A#.
#WHO_SINGLE_WITHOUT_IT# (to have) an #EAT_AN#.	#WHO_SINGLE_WITHOUT_IT# has an #EAT_AN#.
#WHO_SINGLE_WITHOUT_IT# (to have) #DRINK#.	#WHO_SINGLE_WITHOUT_IT# has #DRINK#.
#WHO_SINGLE_WITHOUT_IT# (to have) a #READ_SINGLE_THING#.	#WHO_SINGLE_WITHOUT_IT# has a #READ_SINGLE_THING#.
#WHO_SINGLE_WITHOUT_IT# (to have) a #THINGS_GIVE_A#.	#WHO_SINGLE_WITHOUT_IT# has a #THINGS_GIVE_A#.
#WHO_SINGLE_WITHOUT_IT# (to have) an #THINGS_GIVE_AN#.	#WHO_SINGLE_WITHOUT_IT# has an #THINGS_GIVE_AN#.
#NAMES_FIRST_MEN# (to have) #EAT#.	#NAMES_FIRST_MEN# has #EAT#.
#NAMES_FIRST_MEN# (to have) a #EAT_A#.	#NAMES_FIRST_MEN# has a #EAT_A#.
#NAMES_FIRST_MEN# (to have) an #EAT_AN#.	#NAMES_FIRST_MEN# has an #EAT_AN#.
#NAMES_FIRST_MEN# (to have) #DRINK#.	#NAMES_FIRST_MEN# has #DRINK#.
#NAMES_FIRST_MEN# (to have) a #READ_SINGLE_THING#.	#NAMES_FIRST_MEN# has a #READ_SINGLE_THING#.
#NAMES_FIRST_MEN# (to have) a #THINGS_GIVE_A#.	#NAMES_FIRST_MEN# has a #THINGS_GIVE_A#.
#NAMES_FIRST_MEN# (to have) an #THINGS_GIVE_AN#.	#NAMES_FIRST_MEN# has an #THINGS_GIVE_AN#.
#NAMES_FIRST_WOMEN# (to have) #EAT#.	#NAMES_FIRST_WOMEN# has #EAT#.
#NAMES_FIRST_WOMEN# (to have) a #EAT_A#.	#NAMES_FIRST_WOMEN# has a #EAT_A#.
#NAMES_FIRST_WOMEN# (to have) an #EAT_AN#.	#NAMES_FIRST_WOMEN# has an #EAT_AN#.
#NAMES_FIRST_WOMEN# (to have) #DRINK#.	#NAMES_FIRST_WOMEN# has #DRINK#.
#NAMES_FIRST_WOMEN# (to have) a #READ_SINGLE_THING#.	#NAMES_FIRST_WOMEN# has a #READ_SINGLE_THING#.
#NAMES_FIRST_WOMEN# (to have) a #THINGS_GIVE_A#.	#NAMES_FIRST_WOMEN# has a #THINGS_GIVE_A#.
#NAMES_FIRST_WOMEN# (to have) an #THINGS_GIVE_AN#.	#NAMES_FIRST_WOMEN# has an #THINGS_GIVE_AN#.
#WHO_PLURAL_AND_I# not (to have) #EAT#.	#WHO_PLURAL_AND_I# don't have #EAT#.
#WHO_PLURAL_AND_I# not (to have) a #EAT_A#.	#WHO_PLURAL_AND_I# don't have a #EAT_A#.
#WHO_PLURAL_AND_I# not (to have) an #EAT_AN#.	#WHO_PLURAL_AND_I# don't have an #EAT_AN#.
#WHO_PLURAL_AND_I# not (to have) #DRINK#.	#WHO_PLURAL_AND_I# don't have #DRINK#.
#WHO_PLURAL_AND_I# not (to have) a #READ_SINGLE_THING#.	#WHO_PLURAL_AND_I# don't have a #READ_SINGLE_THING#.
#WHO_PLURAL_AND_I# not (to have) a #THINGS_GIVE_A#.	#WHO_PLURAL_AND_I# don't have a #THINGS_GIVE_A#.
#WHO_PLURAL_AND_I# not (to have) an #THINGS_GIVE_AN#.	#WHO_PLURAL_AND_I# don't have an #THINGS_GIVE_AN#.
#WHO_SINGLE_WITHOUT_IT# not (to have) #EAT#.	#WHO_SINGLE_WITHOUT_IT# doesn't have #EAT#.
#WHO_SINGLE_WITHOUT_IT# not (to have) a #EAT_A#.	#WHO_SINGLE_WITHOUT_IT# doesn't have a #EAT_A#.
#WHO_SINGLE_WITHOUT_IT# not (to have) an #EAT_AN#.	#WHO_SINGLE_WITHOUT_IT# doesn't have an #EAT_AN#.
#WHO_SINGLE_WITHOUT_IT# not (to have) #DRINK#.	#WHO_SINGLE_WITHOUT_IT# doesn't have #DRINK#.
#WHO_SINGLE_WITHOUT_IT# not (to have) a #READ_SINGLE_THING#.	#WHO_SINGLE_WITHOUT_IT# doesn't have a #READ_SINGLE_THING#.
#WHO_SINGLE_WITHOUT_IT# not (to have) a #THINGS_GIVE_A#.	#WHO_SINGLE_WITHOUT_IT# doesn't have a #THINGS_GIVE_A#.
#WHO_SINGLE_WITHOUT_IT# not (to have) an #THINGS_GIVE_AN#.	#WHO_SINGLE_WITHOUT_IT# doesn't have an #THINGS_GIVE_AN#.
#NAMES_FIRST_MEN# not (to have) #EAT#.	#NAMES_FIRST_MEN# doesn't have #EAT#.
#NAMES_FIRST_MEN# not (to have) a #EAT_A#.	#NAMES_FIRST_MEN# doesn't have a #EAT_A#.
#NAMES_FIRST_MEN# not (to have) an #EAT_AN#.	#NAMES_FIRST_MEN# doesn't have an #EAT_AN#.
#NAMES_FIRST_MEN# not (to have) #DRINK#.	#NAMES_FIRST_MEN# doesn't have #DRINK#.
#NAMES_FIRST_MEN# not (to have) a #READ_SINGLE_THING#.	#NAMES_FIRST_MEN# doesn't have a #READ_SINGLE_THING#.
#NAMES_FIRST_MEN# not (to have) a #THINGS_GIVE_A#.	#NAMES_FIRST_MEN# doesn't have a #THINGS_GIVE_A#.
#NAMES_FIRST_MEN# not (to have) an #THINGS_GIVE_AN#.	#NAMES_FIRST_MEN# doesn't have an #THINGS_GIVE_AN#.
#NAMES_FIRST_WOMEN# not (to have) #EAT#.	#NAMES_FIRST_WOMEN# doesn't have #EAT#.
#NAMES_FIRST_WOMEN# not (to have) a #EAT_A#.	#NAMES_FIRST_WOMEN# doesn't have a #EAT_A#.
#NAMES_FIRST_WOMEN# not (to have) an #EAT_AN#.	#NAMES_FIRST_WOMEN# doesn't have an #EAT_AN#.
#NAMES_FIRST_WOMEN# not (to have) #DRINK#.	#NAMES_FIRST_WOMEN# doesn't have #DRINK#.
#NAMES_FIRST_WOMEN# not (to have) a #READ_SINGLE_THING#.	#NAMES_FIRST_WOMEN# doesn't have a #READ_SINGLE_THING#.
#NAMES_FIRST_WOMEN# not (to have) a #THINGS_GIVE_A#.	#NAMES_FIRST_WOMEN# doesn't have a #THINGS_GIVE_A#.
#NAMES_FIRST_WOMEN# not (to have) an #THINGS_GIVE_AN#.	#NAMES_FIRST_WOMEN# doesn't have an #THINGS_GIVE_AN#.
Question: #WHO_PLURAL_AND_I# (to have) #EAT#?	Do #WHO_PLURAL_AND_I# have #EAT#?
Question: #WHO_PLURAL_AND_I# (to have) a #EAT_A#?	Do #WHO_PLURAL_AND_I# have a #EAT_A#?
Question: #WHO_PLURAL_AND_I# (to have) an #EAT_AN#?	Do #WHO_PLURAL_AND_I# have an #EAT_AN#?
Question: #WHO_PLURAL_AND_I# (to have) #DRINK#?	Do #WHO_PLURAL_AND_I# have #DRINK#?
Question: #WHO_PLURAL_AND_I# (to have) a #READ_SINGLE_THING#?	Do #WHO_PLURAL_AND_I# have a #READ_SINGLE_THING#?
Question: #WHO_PLURAL_AND_I# (to have) a #THINGS_GIVE_A#?	Do #WHO_PLURAL_AND_I# have a #THINGS_GIVE_A#?
Question: #WHO_PLURAL_AND_I# (to have) an #THINGS_GIVE_AN#?	Do #WHO_PLURAL_AND_I# have an #THINGS_GIVE_AN#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) #EAT#?	Does #WHO_SINGLE_WITHOUT_IT# have #EAT#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) a #EAT_A#?	Does #WHO_SINGLE_WITHOUT_IT# have a #EAT_A#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) an #EAT_AN#?	Does #WHO_SINGLE_WITHOUT_IT# have an #EAT_AN#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) #DRINK#?	Does #WHO_SINGLE_WITHOUT_IT# have #DRINK#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) a #READ_SINGLE_THING#?	Does #WHO_SINGLE_WITHOUT_IT# have a #READ_SINGLE_THING#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) a #THINGS_GIVE_A#?	Does #WHO_SINGLE_WITHOUT_IT# have a #THINGS_GIVE_A#?
Question: #WHO_SINGLE_WITHOUT_IT# (to have) an #THINGS_GIVE_AN#?	Does #WHO_SINGLE_WITHOUT_IT# have an #THINGS_GIVE_AN#?
Question: #NAMES_FIRST_MEN# (to have) #EAT#?	Does #NAMES_FIRST_MEN# have #EAT#?
Question: #NAMES_FIRST_MEN# (to have) a #EAT_A#?	Does #NAMES_FIRST_MEN# have a #EAT_A#?
Question: #NAMES_FIRST_MEN# (to have) an #EAT_AN#?	Does #NAMES_FIRST_MEN# have an #EAT_AN#?
Question: #NAMES_FIRST_MEN# (to have) #DRINK#?	Does #NAMES_FIRST_MEN# have #DRINK#?
Question: #NAMES_FIRST_MEN# (to have) a #READ_SINGLE_THING#?	Does #NAMES_FIRST_MEN# have a #READ_SINGLE_THING#?
Question: #NAMES_FIRST_MEN# (to have) a #THINGS_GIVE_A#?	Does #NAMES_FIRST_MEN# have a #THINGS_GIVE_A#?
Question: #NAMES_FIRST_MEN# (to have) an #THINGS_GIVE_AN#?	Does #NAMES_FIRST_MEN# have an #THINGS_GIVE_AN#?
Question: #NAMES_FIRST_WOMEN# (to have) #EAT#?	Does #NAMES_FIRST_WOMEN# have #EAT#?
Question: #NAMES_FIRST_WOMEN# (to have) a #EAT_A#?	Does #NAMES_FIRST_WOMEN# have a #EAT_A#?
Question: #NAMES_FIRST_WOMEN# (to have) an #EAT_AN#?	Does #NAMES_FIRST_WOMEN# have an #EAT_AN#?
Question: #NAMES_FIRST_WOMEN# (to have) #DRINK#?	Does #NAMES_FIRST_WOMEN# have #DRINK#?
Question: #NAMES_FIRST_WOMEN# (to have) a #READ_SINGLE_THING#?	Does #NAMES_FIRST_WOMEN# have a #READ_SINGLE_THING#?
Question: #NAMES_FIRST_WOMEN# (to have) a #THINGS_GIVE_A#?	Does #NAMES_FIRST_WOMEN# have a #THINGS_GIVE_A#?
Question: #NAMES_FIRST_WOMEN# (to have) an #THINGS_GIVE_AN#?	Does #NAMES_FIRST_WOMEN# have an #THINGS_GIVE_AN#?
